id	name	pretty_name	so_terms	rna_type	description	seed_count	full_count	clan_id	length
RF00011	RNaseP_bact_b	Bacterial RNase P class B	SO:0000386	Gene; ribozyme;	Ribonuclease P (RNase P) is a ubiquitous endoribonuclease, found in archaea, bacteria and eukarya as well as chloroplasts and mitochondria. Its best characterised activity is the generation of mature 5'-ends of tRNAs by cleaving the 5'-leader elements of precursor-tRNAs. Cellular RNase Ps are ribonucleoproteins. RNA from bacterial RNase Ps retains its catalytic activity in the absence of the protein subunit, i.e. it is a ribozyme. Isolated eukaryotic and archaeal RNase P RNA has not been shown to retain its catalytic function, but is still essential for the catalytic activity of the holoenzyme. Although the archaeal and eukaryotic holoenzyme s have a much greater protein content than the bacterial ones, the RNA cores from all the three lineages are homologous -- helices corresponding to P1, P2, P3, P4, and P10/11 are common to all cellular RNase P RNAs. Yet, there is considerable sequence variation, particularly among the eukaryotic RNAs.	114	574	CL00002	366
RF00012	U3	Small nucleolar RNA U3	SO:0001179	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNAs (snoRNAs) are involved in the processing and modification of rRNA in the nucleolus. There are two main classes of snoRNAs: the box C/D class, and the box H/ACA class. U3 snoRNA is a member of the box C/D class. Indeed, the box C/D element is a subset of the six short sequence elements found in all U3 snoRNAs, namely boxes A, A', B, C, C', and D. The U3 snoRNA secondary structure is characterised by a small 5' domain (with boxes A and A'), and a larger 3' domain (with boxes B, C, C', and D), the two domains being linked by a single-stranded hinge. Boxes B and C form the B/C motif, which appears to be exclusive to U3 snoRNAs, and boxes C' and D form the C'/D motif. The latter is functionally similar to the C/D motifs found in other snoRNAs. The 5' domain and the hinge region act as a pre-rRNA-binding domain. The 3' domain has conserved protein-binding sites. Both the box B/C and box C'/D motifs are sufficient for nuclear retention of U3 snoRNA. The box C'/D motif is also necessary for nucleolar localisation, stability and hyper-methylation of U3 snoRNA. Both box B/C and C'/D motifs are involved in specific protein interactions and are necessary for the rRNA processing functions of U3 snoRNA.	87	3579	CL00100	218
RF00013	6S	6S / SsrS RNA	SO:0000376	Gene;	E. coli 6S RNA was the first non coding RNA to be sequenced, but its function was unknown until recently. It consists of 184 nucleotides that fold into an extended hairpin structure with a large single-stranded internal bulge. The 6S RNA specifically associates with RNA polymerase holoenzyme containing the sigma70 specificity factor. This interaction represses expression from a sigma70-dependent promoter during stationary phase [1]. 6S RNA homologs have recently been identified in most bacterial genomes [2,3]. Many Gram-positive species have two copies of 6S RNA. In Bacillus subtilis, both copies appear to interact with RNA polymerase holoenzyme containing the housekeeping sigma factor and be expressed during different stages of growth. In many proteobacteria, 6S RNA may be processed from a transcript encoding homologs of the E. coli YgfA protein which is a putative methenyltetrahydrofolate synthetase.	149	2526	NULL	188
RF00014	DsrA	DsrA RNA	SO:0000378	Gene; sRNA;	DsrA RNA regulates both transcription, by overcoming transcriptional silencing by the nucleoid-associated H-NS protein, and translation, by promoting efficient translation of the stress sigma factor, RpoS. These two activities of DsrA can be separated by mutation: the first of three stem-loops of the 85 nucleotide RNA is necessary for RpoS translation but not for anti-H-NS action, while the second stem-loop is essential for antisilencing and less critical for RpoS translation. The third stem-loop, which behaves as a transcription terminator, can be substituted by the trp transcription terminator without loss of either DsrA function. The sequence of the first stem-loop of DsrA is complementary with the upstream leader portion of RpoS messenger RNA, suggesting that pairing of DsrA with the RpoS message might be important for translational regulation.	5	55	NULL	85
RF00015	U4	U4 spliceosomal RNA	SO:0000393	Gene; snRNA; splicing;	U4 small nuclear RNA (U4 snRNA) is a component of the major U2-dependent spliceosome. It forms a duplex with U6, and with each splicing round, it is displaced from U6 (and the spliceosome) in an ATP-dependent manner, allowing U6 to re-fold and create the active site for splicing catalysis. A recycling process involving protein Prp24 re-anneals U4 and U6.	170	6885	CL00007	140
RF00016	SNORD14	Small nucleolar RNA SNORD14	SO:0000593	Gene; snRNA; snoRNA; CD-box;	U14 small nucleolar RNA (U14 snoRNA) is required for early cleavages of eukaryotic precursor rRNAs. In yeasts, this molecule possess a stem-loop region (known as the Y-domain) which is essential for function. A similar structure, but with a different consensus sequence, is found in plants, but is absent in vertebrates [1].	18	951	NULL	116
RF00017	Metazoa_SRP	Metazoan signal recognition particle RNA	SO:0000590	Gene;	The signal recognition particle (SRP) is a universally conserved ribonucleoprotein. It is involved in the co-translational targeting of proteins to membranes. The eukaryotic SRP consists of a 300-nucleotide 7S RNA and six proteins: SRPs 72, 68, 54, 19, 14, and 9. Archaeal SRP consists of a 7S RNA and homologues of the eukaryotic SRP19 and SRP54 proteins. Eukaryotic and archaeal 7S RNAs have very similar secondary structures, as represented by this family. Eight helical elements fold into the Alu and S domains, separated by a long linker region [1,2]. The Alu domain is thought to mediate the peptide chain elongation retardation function of the SRP [1]. The universally conserved helix which interacts with the SRP54 M domain mediates signal sequence recognition [2,3]. In eukaryotes and archaea, the SRP19-helix 6 complex is thought to be involved in SRP assembly and stabilises helix 8 for SRP54 binding [1]. The Signal Recognition Particle Database (SRPDB) [4] provides compilations of SRP components, with phylogenetic data and structural illustrations. Many sequences below the threshold for this family are clearly closely related, but are most likely to be SRP RNA derived pseudogenes. The human genome in particular is known to contain a large amount of SRP RNA related sequence, including Alu repeats. While the threshold of this family is set high so as to minimise the number of hits to such regions, it is likely that some remain.	91	45132	CL00003	301
RF00018	CsrB	CsrB/RsmB RNA family	SO:0000377	Gene; sRNA;	The CsrB RNA binds to approximately 18 copies of the CsrA protein Pfam:PF02599. CsrA proteins are found in a wide variety of bacteria. The CsrB RNAs contain a conserved motif CAGGXXG that is found in up to 18 copies and has been suggested to bind CsrA. The Csr regulatory system has a strong negative regulatory effect on glycogen biosynthesis, glyconeogenesis and glycogen catabolism and a positive regulatory effect on glycolysis [1]. In other bacteria such as Erwinia caratovara the RsmA protein has been shown to regulate the production of virulence determinants, such extracellular enzymes [2]. RsmA binds to RsmB regulatory RNA which is also a member of this family [2].	38	238	CL00106	356
RF00019	Y_RNA	Y RNA	SO:0000405	Gene;	Y RNAs are components of the Ro ribonucleoprotein particle (Ro RNP), in association with Ro60 and La proteins. The Y RNAs and Ro60 and La proteins are well conserved, but the function of the Ro RNP is not known. In humans the RNA component can be one of four small RNAs -- hY1, hY3, hY4 and hY5. These small RNAs are predicted to fold into a conserved secondary structure containing three stem structures. The largest of the four, hY1, contains an additional hairpin. This family includes a significant number of annotated pseudogenes and the model is expected to discriminate poorly between real and Y RNA related pseudogenes.	104	9217	NULL	98
RF00020	U5	U5 spliceosomal RNA	SO:0000395	Gene; snRNA; splicing;	U5 RNA is a component of both types of known spliceosome. The precise function of this molecule is unknown, though it is known that the 5' loop is required for splice site selection and p220 binding, and that both the 3' stem-loop and the Sm site are important for Sm protein binding and cap methylation.	180	6161	NULL	116
RF00021	Spot_42	Spot 42 RNA	SO:0000389	Gene; sRNA;	The physiological role of Escherichia coli Spot 42 (spf) RNA has remained obscure, even though the 109-nucleotide RNA was discovered almost three decades ago. Spot 42 seems to have a regulatory role on the galactose operon [1]. It is proposed that Spot 42 acts by an antisense mechanism where the RNA binds to the galK translation initiator region [1]. Changes in Spot 42 levels are implicated in affecting the adjacent DNA polymerase I levels [2]. The Hfq protein has been shown to interact with several small regulatory RNAs in E. coli, and the protein is required for OxyS, DsrA, RprA and Spot 42 RNA regulation [3].	19	182	NULL	115
RF00022	GcvB	GcvB RNA	SO:0000379	Gene;	The gcvB gene encodes a small untranslated RNA involved in expression of the dipeptide and oligopeptide transport systems in Escherichia coli. Included several unknown homologues in alignment (Bateman A pers obs).	27	196	NULL	198
RF00023	tmRNA	transfer-messenger RNA	SO:0000584	Gene;	Bacterial tmRNA, also known as 10Sa RNA or SsrA, is named for its dual tRNA and mRNA-like properties. Its role is to liberate the mRNA from a stalled ribosome. To accomplish this part of the tmRNA is used as a reading frame that ends in a translation stop signal. The broken mRNA is replaced in the ribosome by the tmRNA and translation of the tmRNA leads to addition of a proteolysis tag to the incomplete protein enabling recognition by a protease. Recently a number of permuted tmRNA genes have been found encoded in two parts. tmRNAs have been identified in eubacteria and some chloroplasts but are absent from archaeal and eukaryote nuclear genomes.	477	3938	CL00001	354
RF00024	Telomerase-vert	Vertebrate telomerase RNA	SO:0000390	Gene;	Telomerase is a ribonucleoprotein reverse transcriptase that synthesises telomeric DNA. Telomerase RNAs differ greatly in sequence and structure between vertebrates, ciliates and yeasts, but they share a 5' pseudoknot structure close to the template sequence. Vertebrate telomerase RNAs have a 3' H/ACA snoRNA-like domain. This family also contains viral telomerase RNAs from the Gallid herpes viruses as described in [3].	37	65	CL00004	436
RF00025	Telomerase-cil	Ciliate telomerase RNA	SO:0000390	Gene;	Telomerase is a ribonucleoprotein reverse transcriptase that synthesises telomeric DNA. Telomerase RNAs differ greatly in sequence and structure between vertebrates, ciliates and yeasts, but they share a 5' pseudoknot structure close to the template sequence.	20	5	CL00004	178
RF00026	U6	U6 spliceosomal RNA	SO:0000396	Gene; snRNA; splicing;	U6 snRNA is a component of the spliceosome which is involved in splicing pre-mRNA. The putative secondary structure consensus base pairing is confined to a short 5' stem loop, but U6 snRNA is thought to form extensive base-pair interactions with U4 snRNA [2]. This model hits a large number of sequences in vertebrate genomes, which appear to be U6 derived pseudogenes or repeats. This family has a high significance threshold to minimise this problem, but many annotated pseudogenes remain.	188	44263	CL00009	104
RF00027	let-7	let-7 microRNA precursor	SO:0001244	Gene; miRNA;	This family represents the microRNAs (miRNA) let-7 and mir-98. let-7 was identified from a study of developmental timing in C. elegans [1], and was later shown to be part of a much larger class of non-coding RNAs termed miRNAs [2]. Both miRNAs let-7 and mir-98 have now been predicted or experimentally confirmed in a wide range of species (MIPF:MIPF000002). miRNAs are transcribed as ~70nt precursors (modelled here) and subsequently processed by the Dicer enzyme to give a ~22nt product. The extents of the hairpin precursors are not generally known and are estimated based on hairpin prediction. The products are thought to have regulatory roles through complementarity to mRNA. The involvement of Dicer in miRNA processing suggests a relationship with the phenomenon of RNA interference. This family also includes the miR-98 precursor from human, which may be a let-7 homologue.	63	1361	NULL	84
RF00028	Intron_gpI	Group I catalytic intron	SO:0000587	Intron;	Group I catalytic introns are large self-splicing ribozymes. They catalyse their own excision from mRNA, tRNA and rRNA precursors in a wide range of organisms. The core secondary structure consists of 9 paired regions (P1-P9). These fold to essentially two domains - the P4-P6 domain (formed from the stacking of P5, P4, P6 and P6a helices) and the P3-P9 domain (formed from the P8, P3, P7 and P9 helices). The secondary structure mark-up for this family represents only this conserved core. Group I catalytic introns often have long ORFs inserted in loop regions. The window size for this search is chosen to minimise search time and catch the small examples. A larger window size will find more matches.	12	1510	NULL	251
RF00029	Intron_gpII	Group II catalytic intron	SO:0000603	Intron;	Group II introns are found in rRNA, tRNA and mRNA of organelles in fungi, plants and protists, and also in mRNA in bacteria. They are large self-splicing ribozymes and have 6 structural domains (usually designated dI to dVI. This model and alignment represents only domains V and VI. A subset of group II introns also encode essential splicing proteins in intronic ORFs. The length of these introns can therefore be up to 3kb. Splicing occurs in almost identical fashion to nuclear pre-mRNA splicing with two transesterification steps. The 2' hydroxyl of a bulged adenosine in domain VI attacks the 5' splice site, followed by nucleophilic attack on the 3' splice site by the 3' OH of the upstream exon. Protein machinery is required for splicing in vivo, and long range intron-intron and intron-exon interactions are important for splice site positioning. Group II introns are further sub-classified into groups IIA and IIB which differ in splice site consensus, distance of bulged A from 3' splice site, some tertiary interactions, and intronic ORF phylogeny [1].	92	10335	NULL	93
RF00030	RNase_MRP	RNase MRP	SO:0000385	Gene; ribozyme;	RNase MRP is an enzymatically active ribonucleoprotein with two distinct roles in eukaryotes. In mitochondria it plays a direct role in the initiation of mitochondrial DNA replication. In the nucleus it is involved in precursor rRNA processing, where it cleaves the internal transcribed spacer 1 between 18S and 5.8S rRNAs. Despite distinct functions, RNase MRP has been shown to be evolutionarily related to RNase P. Like eukaryotic RNase P, RNase MRP is not catalytically active without associated protein subunits.	66	867	CL00002	266
RF00031	SECIS_1	Selenocysteine insertion sequence 1	SO:1001274	Cis-reg;	The incorporation of selenocysteine into a protein sequence is directed by an in-frame UGA codon (usually a stop codon) within the coding region of the mRNA. Selenoprotein mRNAs contain a conserved secondary structure in the 3' UTR that is required for the distinction of UGA stop from UGA selenocysteine. The selenocysteine insertion sequence (SECIS) is around 60 nt in length and adopts a hairpin structure which is sufficiently well-defined and conserved to act as a computational screen for selenoprotein genes [2].	61	583	NULL	64
RF00032	Histone3	Histone 3' UTR stem-loop	SO:0000205	Cis-reg;	The mRNAs of metazoan histone genes lack a poly-A tail. 3' end processing occurs at a site between a highly conserved stem-loop (modelled by this family) and a purine rich region around 20 nts downstream (the histone downstream element, or HDE). The stem-loop is bound by a 31 kDa stem-loop binding protein (SLBP - also termed the histone hairpin binding protein, or HBP). Together with U7 snRNA binding of the HDE, SLBP binding nucleate s the formation of the processing complex. The histone 3' UTR stem-loop is also involved in nucleocytoplasmic transport of the mRNA, and in stability regulation and translation efficiency in the cytoplasm.	46	23888	NULL	46
RF00033	MicF	MicF RNA	SO:0000383	Gene; antisense;	The micF gene is a stress response gene found in Escherichia coli and related bacteria that post-transcriptionally controls expression of the outer membrane porin gene ompF. The micF gene encodes a non-translated 93 nt antisense RNA that binds its target ompF mRNA and regulates ompF expression by inhibiting translation and inducing degradation of the message. In addition, other factors, such as the RNA chaperone protein StpA also play a role in this regulatory system. Expression of micF is controlled by both environmental and internal stress factors. Four transcriptional regulators are known to bind the micF promoter region and activate micF expression.	4	60	NULL	94
RF00034	RprA	RprA RNA	SO:0000387	Gene; sRNA;	Translational regulation of the stationary phase sigma factor RpoS is mediated by the formation of a double-stranded RNA stem-loop structure in the upstream region of the rpoS messenger RNA, occluding the translation initiation site. Clones carrying rprA (RpoS regulator RNA A) increased the translation of RpoS. The rprA gene encodes a 106 nucleotide regulatory RNA. As with DsrA Rfam:RF00014, RprA is predicted to form three stem-loops. Thus, at least two small RNAs, DsrA and RprA, participate in the positive regulation of RpoS translation. RprA also appears to bind to the RpoS leader [2]. RprA is non-essential [1]. The Y. pestis homologue was detected by similarity to the E. coli gene (pers obs. Bateman A).	13	99	NULL	108
RF00035	OxyS	OxyS RNA	SO:0000384	Gene; sRNA;	OxyS is a small untranslated RNA which is induced in response to oxidative stress in Escherichia coli. This novel RNA acts as a global regulator to activate or repress the expression of as many as 40 genes, including the fhlA-encoded transcriptional activator and the rpoS-encoded sigma(s) subunit of RNA polymerase [1]. OxyS is bound by the Hfq protein, that increases the OxyS RNA interaction with its target messages [2].	5	36	NULL	110
RF00036	RRE	HIV Rev response element	SO:0000388	Cis-reg;	The Rev response element (RRE) is encoded within the HIV-env gene. Rev is an essential regulatory protein of HIV that binds an internal loop of the RRE leading, encouraging further Rev-RRE binding. This RNP complex is critical for mRNA export and hence for expression of the HIV structural proteins.	65	13	NULL	337
RF00037	IRE_I	Iron response element I	SO:0004725	Cis-reg;	NULL	61	1788	NULL	36
RF00038	PrfA	PrfA thermoregulator UTR	SO:0000233	Cis-reg; thermoregulator;	In Listeria monocytogenes, virulence genes are maximally expressed at 37 degrees C, almost silent at 30 degrees C and controlled by PrfA, a transcriptional activator whose expression is thermoregulated. It has been shown that the untranslated mRNA (UTR) preceding prfA, forms a secondary structure, which masks the ribosome binding region [1]. This family also contains UTRs from other closely related bacteria. The secondary structure of this motif forms a hairpin. The Shine-Dalgarno (SD) sequence is partly masked by the most conserved stem of the secondary structure. It is thought that at 37 degrees C the SD sequence is unmasked [1].	11	1	NULL	132
RF00039	DicF	DicF RNA	SO:0000644	Gene; antisense;	DicF RNA is an antisense inhibitor of cell division gene ftsZ [1].	5	30	NULL	52
RF00040	rne5	RNase E 5' UTR element	SO:0000204	Cis-reg;	This family represents a conserved element found in the 5' UTR of RNase E mRNA. RNase E is a key regulatory enzyme in the pathway of mRNA degradation in E. coli that is able to auto-regulate the degradation of its own mRNA in response to changes in RNase E activity. This rne 5' UTR element acts as a sensor of cellular RNase E concentration enabling tight regulation of RNase E concentration and synthesis.	6	118	NULL	334
RF00041	Entero_OriR	Enteroviral 3' UTR element	SO:0000205	Cis-reg;	This RNA structure is found in the 3' UTR of various enteroviruses. The overall structure forms the origin of replication (OriR) for the initiation of (-) strand RNA synthesis [1]. Pseudoknots have also been predicted in this structure [1].	60	6	NULL	121
RF00042	CopA	CopA-like RNA	SO:0000644	Gene; antisense;	In several groups of bacterial plasmids, antisense RNAs regulate copy number through inhibition of replication initiator protein synthesis. These RNAs are characterised by a long hairpin structure interrupted by several unpaired residues or bulged loops. In plasmid R1, the inhibitory complex between the antisense RNA (CopA) and its target mRNA (CopT) is characterised by a four-way junction structure and a side-by-side helical alignment [3].	37	44	NULL	92
RF00043	Plasmid_R1162	R1162-like plasmid antisense RNA	SO:0001263	Gene; antisense;	The copy-number of the broad host-range plasmid R1162 is controlled by the amounts of two proteins, encoded by cotranscribed genes comprising a region of the plasmid called RepI. RepI is negatively regulated by a 75 base RNA that is complementary to a segment of the RepI message [1].	8	2	NULL	75
RF00044	Phage_pRNA	Bacteriophage pRNA	SO:0000655	Gene;	During replication of linear dsDNA viruses, the viral genome is packaged into the pre-formed viral procapsid. The packaging of DNA into the procapsid requires a molecular motor which using ATP as energy to accomplish the energetically unfavourable motion. In some bacteriophage, an RNA (pRNA) molecule is a vital component of this motor [1]. Structural analyses of the packaging motor have demonstrated that the pRNA molecule has fivefold symmetry when attached to the prohead [2-4]. The pRNA is thought to be bound by the capsid connector protein (PFAM:PF05352) [4]. Only the first 120 bases of the pRNA are essential for packing the viral DNA [5,6]. The pRNA is proposed to be comprised of two domains, one corresponding to the first 120 bases and the second to the remaining 50 bases [6]. Nuclear cleavage occurs in the single strand region linking these two domains [6].	3	2	NULL	244
RF00045	SNORA73	Small nucleolar RNA SNORA73 family	SO:0000594	Gene; snRNA; snoRNA; HACA-box;	U17 (SNORA73A and SNORA73B) also known as E1 belongs to the H/ACA class of small nucleolar RNAs (snoRNAs). Vertebrate U17 is intron-encoded and ranges in length from 200-230 nucleotides, longer than most snoRNAs. It is one of the most abundant snoRNAs in human cells and is essential for the cleavage of pre-rRNA within the 5' external transcribed spacer (ETS) [1]. This cleavage leads to the formation of 18S rRNA. Regions of the U17 RNA are complementary to rRNA and act as guides for RNA/RNA interactions, although these regions do not seem to be well conserved between organisms [2].	66	465	CL00078	219
RF00046	snoR30	Small nucleolar RNA R30/Z108	SO:0000593	Gene; snRNA; snoRNA; CD-box;	snoR30 is a C/D box small nucleolar RNA which acts as a methylation guide for 18S ribosomal RNA in plants.	6	164	CL00073	96
RF00047	mir-2	mir-2 microRNA precursor	SO:0001244	Gene; miRNA;	This family represents the microRNA (miRNA) precursors mir-2 and mir-13 (MIPF:MIPF0000049). mir-2 has now been predicted or experimentally confirmed in a wide range of species. The miRNAs are transcribed as ~70nt precursors (modelled here) and subsequently processed by the Dicer enzyme to give a ~22nt product. In this case the mature sequence comes from the 3' arm of the precursor. The extents of the hairpin precursors are not generally known and are estimated based on hairpin prediction. The products are thought to have regulatory roles through complementarity to mRNA. The involvement of Dicer in miRNA processing suggests a relationship with the phenomenon of RNA interference. miRNAs are numbered based on the mature sequence. This family also contains the mir-13 precursor which, despite giving rise to a distinct mature sequence appears to be related in sequence.	56	295	NULL	72
RF00048	Entero_CRE	Enterovirus cis-acting replication element	SO:0000233	Cis-reg;	The first step in the replication of the plus-stranded poliovirus RNA is the synthesis of a complementary minus strand. This process is initiated by the covalent attachment of UMP to the terminal protein VPg, yielding VPgpU and VPgpUpU. A small RNA hairpin in the coding region of protein 2C as the site in PV1(M) RNA that is used as the primary template for the in vitro uridylylation [1-2].	56	11	NULL	61
RF00049	SNORD36	Small nucleolar RNA SNORD36	SO:0000593	Gene; snRNA; snoRNA; CD-box;	U36 is a member of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. U36 is encoded within the intron of rpL7a, and has two regions of complementarity to 18S and 28S ribosomal RNA. This complementarity suggests that U36 acts as a 2'-O-ribose methylation guide [1,2]. This family also contains snoR47, which has been shown to be homologous to U36 [2], and plant Z100 snoRNA.	59	731	CL00051	77
RF00050	FMN	FMN riboswitch (RFN element)	SO:0000035	Cis-reg; riboswitch;	The RFN element is a highly conserved domain that is found frequently in the 5'-untranslated regions of prokaryotic mRNAs that encode for flavin mononucleotide (FMN) biosynthesis and transport proteins. This element is a metabolite-dependent riboswitch that directly binds FMN in the absence of proteins. In Bacillus subtilis, the riboswitch most likely controls gene expression by causing premature transcription termination within the 5' untranslated region of the ribDEAHT operon and precluding access to the ribosome-binding site of ypaA mRNA [3].	144	3012	NULL	140
RF00051	mir-17	mir-17 microRNA precursor family	SO:0001244	Gene; miRNA;	This family represents the microRNA (miRNA) precursor mir-17, family, which includes mir-20, mir-91, and mir-103. miRNAs are transcribed as ~70nt precursors (modelled here) and subsequently processed by the Dicer enzyme to give a ~22nt product. In this case the mature sequence comes from the 3' arm of the precursor. The extents of the hairpin precursors are not generally known and are estimated based on hairpin prediction. The products are thought to have regulatory roles through complementarity to mRNA. The involvement of Dicer in miRNA processing suggests a relationship with the phenomenon of RNA interference. miRNAs are numbered based on the sequence of the mature RNA.	54	528	NULL	82
RF00052	lin-4	lin-4 microRNA precursor	SO:0001244	Gene; miRNA;	This family represents the microRNA (miRNA) lin-4 (MIPF:MIPF0000303). lin-4 was identified from a study of developmental timing in C. elegans [1], and was later shown to be part of a much larger class of non-coding RNAs termed miRNAs [2]. miRNAs are transcribed as ~70nt precursors (modelled here) and subsequently processed by the Dicer enzyme to give a ~22nt product. The extents of the hairpin precursors are not generally known and are estimated based on hairpin prediction. The products are thought to have regulatory roles through complementarity to mRNA. The involvement of Dicer in miRNA processing suggests a relationship with the phenomenon of RNA interference.	12	313	NULL	71
