GENE_RGD_ID	SYMBOL	NAME	GENE_DESC	CHROMOSOME_CELERA	CHROMOSOME_3.1	CHROMOSOME_3.4	FISH_BAND	START_POS_CELERA	STOP_POS_CELERA	STRAND_CELERA	START_POS_3.1	STOP_POS_3.1	STRAND_3.1	START_POS_3.4	STOP_POS_3.4	STRAND_3.4	CURATED_REF_RGD_ID	CURATED_REF_PUBMED_ID	UNCURATED_PUBMED_ID	NCBI_GENE_ID	UNIPROT_ID	GENE_REFSEQ_STATUS	GENBANK_NUCLEOTIDE	TIGR_ID	GENBANK_PROTEIN	UNIGENE_ID	SSLP_RGD_ID	SSLP_SYMBOL	OLD_SYMBOL	OLD_NAME	QTL_RGD_ID	QTL_SYMBOL	NOMENCLATURE_STATUS	SPLICE_RGD_ID	SPLICE_SYMBOL	GENE_TYPE	ENSEMBL_ID	GENE_REFSEQ_STATUS	CHROMOSOME_5.0	START_POS_5.0	STOP_POS_5.0	STRAND_5.0	CHROMOSOME_6.0	START_POS_6.0	STOP_POS_6.0	STRAND_6.0
1560812	Ccdc71l	coiled-coil domain containing 71-like	ASSOCIATED WITH Carcinoma, Ductal, Breast (ortholog); Pleomorphic Xanthoastrocytoma  (ortholog); INTERACTS WITH cadmium dichloride; indole-3-methanol; aflatoxin B1 (ortholog)	6		6	q16	48160311	48164031	+				50622965	50623768	+	6480464;8554872			500640		MODEL	AABR07063829;AAHX01043269;FQ228778;XM_003750141;XM_006225822		XP_003750189;XP_006225884	Rn.224565	5027447;5050188	AV375874;RH133912	LOC500640;RGD1560812	coiled-coil domain-containing protein 71L			APPROVED			protein-coding		MODEL	6	61296309	61303160	+	6	51659498	51666145	+
1311845	Cdadc1	cytidine and dCMP deaminase domain containing 1	ENCODES a protein that exhibits cytidine deaminase activity (ortholog); importin-alpha family protein binding (ortholog); protein homodimerization activity (ortholog); INVOLVED IN cytidine deamination (ortholog); DNA cytosine deamination (ortholog); FOUND IN cytoplasm (ortholog); nucleus (ortholog); INTERACTS WITH (S)-10-[(DIMETHYLAMINO)METHYL]-4-ETHYL-4,9-DIHYDROXY-1H-PYRANO[3',4':6,7]INOLIZINO[1,2-B]-QUINOLINE-3,14(4H,12H)-DIONE; 2,3,7,8-tetrachlorodibenzodioxine; 2,6-dinitrotoluene	15	15	15	p12	33449998	33461858	-	38691039	38702899	-	38675339	38687199	-	1580654;6480464		12477932	361052	A0A0G2KAJ9;Q5XIE7	PROVISIONAL	AAHX01083236;AC126002;BC083736;CH474023;FQ213068;NM_001012156;XM_006252123;XM_006252125;XM_006252126;XM_008770760		AAH83736;EDL85243;EDL85244;NP_001012156;XP_006252185;XP_006252187;XP_006252188;XP_008768982	Rn.76647			LOC361052	cytidine and dCMP deaminase domain-containing protein 1			APPROVED			protein-coding	ENSRNOG00000012209	PROVISIONAL	15	43686831	43715855	-	15	39865094	39894122	-
7704882	LOC102555817	dynein heavy chain 17, axonemal-like		3			q23	57228688	57236109	-										102555817		MODEL	AABR07072872;AAHX01022671;XM_006224489;XM_006224490;XM_006234363;XM_006234364;XM_008761956;XM_008761957;XM_008761958;XM_008775437;XM_008775438;XM_008775439;XR_001837141;XR_001842938		XP_006224551;XP_006224552;XP_006234425;XP_006234426;XP_008760178;XP_008760179;XP_008760180;XP_008773659;XP_008773660;XP_008773661					uncharacterized protein LOC102555817			PROVISIONAL			protein-coding		MODEL	3	65998106	66003963	-	3	59522339	59529760	-
7517141	LOC102546498	M-phase phosphoprotein 6-like				6	q24							103664039	103664517	-				102546498		MODEL	AABR07065010						LOC680776	similar to M phase phosphoprotein 6			PROVISIONAL			pseudo		MODEL	6	112089123	112090697	-	6	103913687	103915331	-
1594229	LOC680202	similar to DnaJ (Hsp40) homolog, subfamily B, member 6		17		17	q12.3	74289571	74290221	+				86028644	86029490	+				680202		MODEL	AAHX01092903										APPROVED			pseudo		MODEL	17	80552911	80553757	+				
7566877	LOC102550079	high mobility group protein B4-like		X		X		95747401	95747922	-				118871705	118872226	-				102550079									LOC100361981	high-mobility group box 4-like			PROVISIONAL			pseudo			X	101880377	101880898	-	X	102039009	102039530	-
1333120	Olr978-ps	olfactory receptor pseudogene 978	olfactory receptor pseudogene	7	7	7	q11	2742883	2743753	-	5674366	5675437	+	5674467	5675137	+	1303377	15057822		405529		REVIEWED	AABR07055527;AAHX01047279;NG_003793										APPROVED			pseudo		REVIEWED	7	4912577	4913447	+	7	4916386	4917256	+
9195374	LOC103694636	Y-linked testis-specific protein 1-like																		103694636		MODEL	AC240877;XM_008773745		XP_008771967					LOW QUALITY PROTEIN: Y-linked testis-specific protein 1			PROVISIONAL			protein-coding		MODEL								
9111333	LOC103692990	heat shock protein HSP 90-alpha pseudogene		7		7		108345468	108348349	+				118758896	118761054	+				103692990									LOC685833	similar to heat shock protein 1, alpha			PROVISIONAL			pseudo							7	121693770	121696651	+
1596656	LOC682635	similar to CG31855-PA		2			q21	69595960	69613078	+							6480464			682635		MODEL	AABR07008805;AAHX01014304;AAHX01014305										PROVISIONAL			pseudo		MODEL	2	94424357	94441288	+	2	74711906	74714279	+
