# RGD-PIPELINE: ftp-file-extracts
# MODULE: genes-version-2.2.5
# GENERATED-ON: 2018/01/05
# PURPOSE: information about active Rat genes extracted from RGD database
# CONTACT: rgd.data@mcw.edu
# FORMAT: tab delimited text
# NOTES: multiple values in a single column are separated by ';'
#
### As of Apr 1, 2011 RATMAP_IDs and RHDB_IDs are discontinued.
### As of Apr 15, 2011 GENE_REFSEQ_STATUS column is provided.
### As of Jul 1, 2011 fixed generation of CURATED_REF_PUBMED_IDs and UNCURATED_PUBMED_IDs
### As of Nov 23, 2011 ver 2.1.2: no format changes (UniGene Ids are extracted from db in different way).
### As of Dec 19, 2011 ver 2.1.2.1: no format changes (fixed documentation in header to be consistent with column names).
### As of May 31, 2012 ver 2.1.2.2: no format changes (improved generation speed).
### As of July 6, 2012 ver 2.1.2.3: no format changes (added generation of file GENES_RAT_5.0).
### As of Oct 23, 2012 ver 2.1.2.4: obsoleted column 23 'UNCURATED_REF_MEDLINE_ID' - changed to '(UNUSED)'.
### As of Dec 17, 2012 ver 2.1.2.5: no format changes.
### As of Aug 19, 2013 ver 2.1.2.6: gene descriptions made consistent with gene report pages from RGD website.
### As of Oct 2, 2014 ver 2.2: genes files refactored:
###   GENES_HUMAN_B38.txt retired -- added new columns to GENES_HUMAN.txt to accommodate positions for GRCh38.
###   GENES_MOUSE_B36.txt retired -- added new columns to GENES_MOUSE.txt to accommodate positions for assembly build 36.
###   GENES_RAT_5.0.txt and GENES_RAT_6.0.txt retired -- added new columns to GENES_RAT.txt to accommodate positions for Rnor_5.0 and Rnor_6.0.
### As of Feb 15, 2017 ver 2.2.2: HPRD_IDs are discontinued for human genes.
### As of May 25, 2017 ver 2.2.5: GENE_REFSEQ_STATUS is now published in column 23 for all species
###   during transition period, for rat, mouse and human, GENE_REFSEQ_STATUS will continue to be laso published in columns 39, 41 and 42 respectively
#
#COLUMN INFORMATION:
# (First 38 columns are in common between all species)
#
#1   GENE_RGD_ID	      the RGD_ID of the gene
#2   SYMBOL             official gene symbol
#3   NAME    	          gene name
#4   GENE_DESC          gene description (if available)
#5   CHROMOSOME_CELERA  chromosome for Celera assembly
#6   CHROMOSOME_3.1 chromosome for reference assembly build 3.1
#7   CHROMOSOME_3.4 chromosome for reference assembly build 3.4
#8   FISH_BAND          fish band information
#9   START_POS_CELERA   start position for Celera assembly
#10  STOP_POS_CELERA    stop position for Celera assembly
#11  STRAND_CELERA      strand information for Celera assembly
#12  START_POS_3.1   start position for reference assembly build 3.1
#13  STOP_POS_3.1    stop position for reference assembly build 3.1
#14  STRAND_3.1      strand information for reference assembly build 3.1
#15  START_POS_3.4   start position for reference assembly build 3.4
#16  STOP_POS_3.4    stop position for reference assembly build 3.4
#17  STRAND_3.4      strand information for reference assembly build 3.4
#18  CURATED_REF_RGD_ID     RGD_ID of paper(s) used to curate gene
#19  CURATED_REF_PUBMED_ID  PUBMED_ID of paper(s) used to curate gene
#20  UNCURATED_PUBMED_ID    PUBMED ids of papers associated with the gene at NCBI but not used for curation
#21  NCBI_GENE_ID           NCBI Gene ID
#22  UNIPROT_ID             UniProtKB id(s)
#23  GENE_REFSEQ_STATUS     gene RefSeq Status (from NCBI)
#24  GENBANK_NUCLEOTIDE     GenBank Nucleotide ID(s)
#25  TIGR_ID                TIGR ID(s)
#26  GENBANK_PROTEIN        GenBank Protein ID(s)
#27  UNIGENE_ID             UniGene ID(s)
#28  SSLP_RGD_ID            RGD_ID(s) of SSLPS associated with given gene
#29  SSLP_SYMBOL            SSLP symbol
#30  OLD_SYMBOL             old symbol alias(es)
#31  OLD_NAME               old name alias(es)
#32  QTL_RGD_ID             RGD_ID(s) of QTLs associated with given gene
#33  QTL_SYMBOL             QTL symbol
#34  NOMENCLATURE_STATUS    nomenclature status
#35  SPLICE_RGD_ID          RGD_IDs for gene splices
#36  SPLICE_SYMBOL          symbol for gene 
#37  GENE_TYPE              gene type
#38  ENSEMBL_ID             Ensembl Gene ID
#39  GENE_REFSEQ_STATUS_LEGACY legacy column -- use column 23 instead -- it will be discontinued in the future
#40  CHROMOSOME_5.0         chromosome for Rnor_5.0 reference assembly
#41  START_POS_5.0          start position for Rnor_5.0 reference assembly
#42  STOP_POS_5.0           stop position for Rnor_5.0 reference assembly
#43  STRAND_5.0             strand information for Rnor_5.0 reference assembly
#44  CHROMOSOME_6.0         chromosome for Rnor_6.0 reference assembly
#45  START_POS_6.0          start position for Rnor_6.0 reference assembly
#46  STOP_POS_6.0           stop position for Rnor_6.0 reference assembly
#47  STRAND_6.0             strand information for Rnor_6.0 reference assembly
#
GENE_RGD_ID	SYMBOL	NAME	GENE_DESC	CHROMOSOME_CELERA	CHROMOSOME_3.1	CHROMOSOME_3.4	FISH_BAND	START_POS_CELERA	STOP_POS_CELERA	STRAND_CELERA	START_POS_3.1	STOP_POS_3.1	STRAND_3.1	START_POS_3.4	STOP_POS_3.4	STRAND_3.4	CURATED_REF_RGD_ID	CURATED_REF_PUBMED_ID	UNCURATED_PUBMED_ID	NCBI_GENE_ID	UNIPROT_ID	GENE_REFSEQ_STATUS	GENBANK_NUCLEOTIDE	TIGR_ID	GENBANK_PROTEIN	UNIGENE_ID	SSLP_RGD_ID	SSLP_SYMBOL	OLD_SYMBOL	OLD_NAME	QTL_RGD_ID	QTL_SYMBOL	NOMENCLATURE_STATUS	SPLICE_RGD_ID	SPLICE_SYMBOL	GENE_TYPE	ENSEMBL_ID	GENE_REFSEQ_STATUS	CHROMOSOME_5.0	START_POS_5.0	STOP_POS_5.0	STRAND_5.0	CHROMOSOME_6.0	START_POS_6.0	STOP_POS_6.0	STRAND_6.0
1302953	CB741658	CB741658 gene		20	20	20	p12	544570	547821	+	3270350	3273602	-	3270124	3273375	+				415051		VALIDATED	AABR07044370;AAHX01099443;BX883047;NR_002316			Rn.233728							PROVISIONAL			ncrna		VALIDATED	20	5727280	5730531	+	20	3630527	3633778	+
2313830	Cb707485	hypothetical LOC100310783		20		20	p12	447210	450184	-				3171446	3174420	-			15060004	100310783		VALIDATED	AABR07044367;AABR07044368;AAHX01099440;BX883047;CB707485;NR_029398			Rn.181213							PROVISIONAL			ncrna		VALIDATED	20	5629221	5632195	-	20	3532202	3535176	-
727842	LOC252890	Z39 small nucleolar RNA		2	2	2	q11	13075578	13075637	-	15174608	15174668	-	15254240	15254299	-	727989			252890		PROVISIONAL	AABR07007455;AAHX01011830;AJ240058;NR_002705										PROVISIONAL			snrna	ENSRNOG00000054767	PROVISIONAL	2	14553602	14553661	-	2	14700078	14700137	-
10401674	Carmn	cardiac mesoderm enhancer-associated non-coding RNA	INTERACTS WITH aflatoxin B1 (ortholog); antirheumatic drug (ortholog); DDT (ortholog)														6480464		21159816;26423156	106635538			AW920587;AW920588;CK355645;CK366138			Rn.95753			Mir143hg	Carmen;Mir143 and Mir145 host gene (non-protein coding)			APPROVED			ncrna										
GENE_RGD_ID	SYMBOL	NAME	GENE_DESC	CHROMOSOME_CELERA	CHROMOSOME_3.1	CHROMOSOME_3.4	FISH_BAND	START_POS_CELERA	STOP_POS_CELERA	STRAND_CELERA	START_POS_3.1	STOP_POS_3.1	STRAND_3.1	START_POS_3.4	STOP_POS_3.4	STRAND_3.4	CURATED_REF_RGD_ID	CURATED_REF_PUBMED_ID	UNCURATED_PUBMED_ID	NCBI_GENE_ID	UNIPROT_ID	GENE_REFSEQ_STATUS	GENBANK_NUCLEOTIDE	TIGR_ID	GENBANK_PROTEIN	UNIGENE_ID	SSLP_RGD_ID	SSLP_SYMBOL	OLD_SYMBOL	OLD_NAME	QTL_RGD_ID	QTL_SYMBOL	NOMENCLATURE_STATUS	SPLICE_RGD_ID	SPLICE_SYMBOL	GENE_TYPE	ENSEMBL_ID	GENE_REFSEQ_STATUS	CHROMOSOME_5.0	START_POS_5.0	STOP_POS_5.0	STRAND_5.0	CHROMOSOME_6.0	START_POS_6.0	STOP_POS_6.0	STRAND_6.0
62073	P2rx4	purinergic receptor P2X 4	ENCODES a protein that exhibits ATP binding; copper ion binding; drug binding; INVOLVED IN neuronal action potential; protein homooligomerization; regulation of sodium ion transport; PARTICIPATES IN calcium/calcium-mediated signaling pathway; ASSOCIATED WITH Heart Failure; Epilepsy (ortholog); Epilepsy, Temporal Lobe (ortholog); FOUND IN axon; dendrite; dendritic spine; INTERACTS WITH ATP; benzo[a]pyrene; bisphenol A	12	12	12	q16	35521444	35539095	-	34807290	34824939	-	34943900	34961551	-	61682;619610;729054;729194;729354;729389;737633;1580654;1600115;1642659;1642694;1642695;1642669;1642691;1581703;1642301;6480464;6907045;8693375;8554639;8553355;13432299	11160443;12477932;12819199;14978347;15313628;15476696;16282518;16497176;16934235;17785580;19419241;24815693;7498461;8551329;8598206;8602843;8622997	10515189;10899068;10969036;11606481;12077178;12088286;12105201;12600825;12788520;12917686;15081800;15130891;15489334;15528255;15795310;15885321;15890753;15985462;16327800;16534777;16943557;16949036;16973131;17264311;17299767;17560948;17897319;17918263;17940064;17990272;18427835;18675255;18837052;18938136;19056867;19084381;19283779;19295157;19298529;19304656;19351603;19447505;19562525;19767540;19946888;20009029;20026202;20056605;20406028;20407394;20590593;21106936;21378451;21482824;21844344;21907716;22053919;22222817;22230887;22393055;22785548;23220420;23524095;23533145;23555667;23771671;24254916;24569146;24798490;24817123;24943126;24997270;25070962;25074385;25398027;25662851;25680470;26481522;26946358;27506813;27545450;9016352	29659	P51577	PROVISIONAL	AABR07036346;AAHX01072488;BC078792;CH473973;NM_031594;U32497;U47031;X87763;X91200;X93565		AAA99777;AAC52380;AAH78792;CAA61037;CAA62607;CAA63778;EDM13668;EDM13669;EDM13670;EDM13671;EDM13672;NP_113782;P51577	Rn.7176	5073316	RH137366	P2X4	ATP receptor;P2X purinoceptor 4;purinergic receptor P2X ligand-gated ion channel 4;purinergic receptor P2X, ligand-gated ion channel 4			APPROVED			protein-coding	ENSRNOG00000001300	PROVISIONAL	12	41196777	41214428	-	12	39308022	39325673	-
620332	Pafah1b2	platelet-activating factor acetylhydrolase 1b, catalytic subunit 2	ENCODES a protein that exhibits platelet-activating factor acetyltransferase activity; protein heterodimerization activity; protein homodimerization activity; INVOLVED IN brain development; positive regulation of macroautophagy (ortholog); spermatogenesis (ortholog); PARTICIPATES IN altered Reelin signaling pathway; Reelin signaling pathway; ether lipid metabolic pathway; ASSOCIATED WITH Lymphoma (ortholog); FOUND IN cytosol; cytoplasm (ortholog); fibrillar center (ortholog); INTERACTS WITH 2,3,7,8-tetrachlorodibenzodioxine; 2,6-dinitrotoluene; ammonium chloride	8	8	8	q22	45843851	45862380	-	48947322	48965875	-	48938556	48957109	-	619610;729515;737633;1540381;1600115;1580654;4107059;4107046;4107040;6480464;6907045;8554872;633389	10940388;11983068;12477932;15456758;17330141;9459487;9660828	12551946;15489334;19056867;22354037;23376485	64189	O35264	PROVISIONAL	AAHX01054403;AC094040;AC096909;AF016048;BC081714;CH473975;FQ212439;NM_022387;XM_006242958		AAC27974;AAH81714;EDL95390;EDL95391;EDL95392;NP_071782;O35264;XP_006243020	Rn.24751	44403;5032219;5036446;5040846;5055375;5080148;5086705	AI228182;AI747451;D8Got71;Pafah1b2;RH128517;RH141413;RH143765	MGC93124	PAF acetylhydrolase 30 kDa subunit;PAF-AH 30 kDa subunit;PAF-AH alpha 2;PAF-AH subunit beta;PAFAH subunit beta;platelet-activating factor acetylhydrolase IB subunit beta;platelet-activating factor acetylhydrolase alpha 2 subunit (PAF-AH alpha 2);platelet-activating factor acetylhydrolase, isoform 1b, alpha2 subunit;platelet-activating factor acetylhydrolase, isoform 1b, subunit 2;platelet-activating factor acetylhydrolase, isoform Ib, beta subunit;platelet-activating factor acetylhydrolase, isoform Ib, subunit 2			APPROVED			protein-coding	ENSRNOG00000057102	PROVISIONAL	8	48883712	48934692	-	8	50256969	50310043	-
9453438	LOC103693336	60S ribosomal protein L14 pseudogene		10			q22	36815934	36816590	+										103693336		MODEL	AABR07072108;AAHX01063884										PROVISIONAL			pseudo		MODEL					10	38661901	38662557	+
1561803	RGD1561803	similar to uracil DNA glycosylase		X		X	q14	33360419	33361374	-				53901833	53902563	-				501556		MODEL	AABR07037882;AAHX01110010						LOC501556				APPROVED			pseudo		MODEL	X	35196480	35197435	-	X	34855651	34856292	-
2323415	LOC100363225	hypothetical LOC100363225		19		19	q11	21703590	21753440	+				23249164	23250145	+				100363225		MODEL	AABR07043523;AABR07043524;AABR07043525;AABR07043526;AABR07043527;AABR07043528;AABR07043529;AABR07043530;AABR07043531;AABR07043532;AABR07043533;AABR07043534;AABR07043535;AABR07043536;AABR07043537;AAHX01097646;AAHX01097647;AAHX01097648;AAHX01097649;XM_008774202;XM_017601501;XM_017601502;XM_017601503;XM_017601504;XM_017601505;XM_017601506;XR_001842372;XR_001842373		XP_008772424;XP_017456990;XP_017456991;XP_017456992;XP_017456993;XP_017456994;XP_017456995				LOC501274	LOW QUALITY PROTEIN: serine/threonine-protein phosphatase PP1-beta catalytic subunit-like;similar to spermatogenesis associated glutamate (E)-rich protein 4d;uncharacterized protein LOC100363225			PROVISIONAL			protein-coding		MODEL	19	40162234	40164794	-	19	29130341	29246200	-
9171458	Nyap2	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2	INVOLVED IN neuron projection morphogenesis (ortholog); phosphatidylinositol 3-kinase signaling (ortholog); FOUND IN intracellular (inferred); INTERACTS WITH 2,2',4,4',5,5'-hexachlorobiphenyl (ortholog); 2,2',5,5'-tetrachlorobiphenyl (ortholog); lead(0) (ortholog)	9			q34	79873550	80149535	+							6480464		21946561	103690221	F1M3A4	MODEL	AABR07068166;AABR07068167;AAHX01061117;AAHX01061118;AAHX01061119;AAHX01061120;AAHX01061121;AAHX01061122;AAHX01061123;AAHX01061124;AAHX01061125;AAHX01061126;AAHX01061127;AAHX01061128;AAHX01061129;AAHX01061130;AAHX01061131;AAHX01061132;XM_008758062;XM_008767316;XM_017596833;XM_017596834;XM_017596835;XM_017596836;XM_017596837;XM_017596838;XM_017596839;XM_017603895;XM_017603896;XM_017603897;XM_017603898;XM_017603899;XM_017603900;XM_017603901		XP_008756284;XP_008765538;XP_017452322;XP_017452323;XP_017452324;XP_017452325;XP_017452326;XP_017452327;XP_017452328;XP_017459384;XP_017459385;XP_017459386;XP_017459387;XP_017459388;XP_017459389;XP_017459390				NEWGENE_1305560	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 2			APPROVED			protein-coding	ENSRNOG00000023765	MODEL					9	86873942	87151060	+
621706	Ythdc1	YTH domain containing 1	ENCODES a protein that exhibits N6-methyladenosine-containing RNA binding; RNA binding (ortholog); INVOLVED IN mRNA splicing, via spliceosome; mRNA splice site selection (ortholog); regulation of mRNA splicing, via spliceosome (ortholog); FOUND IN nuclear body; nucleoplasm; nuclear speck (ortholog); INTERACTS WITH 2,4-dinitrotoluene; 3H-1,2-dithiole-3-thione; ammonium chloride	14	14	14	p21	20678761	20708683	-	22805107	22835283	-	22805108	22835283	-	619610;634512;634511;1580654;2316827;6480464;8554872;10047201	10564280;19282290;25389274;9473574	10973987;11118435;20167602;22658674;22681889;25242552;26318451;26876937	170956	Q9QY02	PROVISIONAL	AABR07014610;AAHX01078571;AAHX01078572;AF144731;CH473981;D78303;NM_133423;XM_006250805;XM_006250806;XM_006250808;XM_008769987;XM_008769988;XM_008769989;XM_008769990		AAD55973;BAA23885;EDL89828;EDL89829;EDL89830;NP_596914;Q9QY02;XP_006250867;XP_006250868;XP_006250870;XP_008768209;XP_008768210;XP_008768211;XP_008768212	Rn.48752	39598;5060098	BF388492;D14Rat81	Yt521	RA301-binding protein;YTH domain-containing protein 1;putative splicing factor YT521;splicing factor YT521;splicing factor YT521-B			APPROVED			protein-coding	ENSRNOG00000001996	PROVISIONAL	14	22869117	22899637	-	14	22971834	23002326	-
